N,BEW,CG,BEW Moment,Useful Load,Color,Equip,Fuel,SURV,ID
678LH,1675.2,88.22,147785.2,874.8,W/R,SBG,S,/CB2,LFA535
679LH,1679.2,88.46,148538.8,870.8,W/R,SBG,S,/CB2,LFA536
680LH,1673.2,88.24,147644.5,876.8,W/R,SBG,S,/CB2,LFA537
681LH,1675.2,88.13,147627.8,874.8,W/R,SBG,S,/CB2,LFA538
682LH,1672.2,88.18,147456.1,885.8,W/R,SBG,S,/CB2,LFA539
683LH,1673.2,87.96,147172.3,884.8,W/R,SBG,S,/CB2,LFA540
684LH,1683.2,88.14,148348,874.8,W/R,SBG,S,/CB2,LFA541
685LH,1673.2,88.2,147565.8,884.8,W/R,SBG,S,/CB2,LFA542
686LH,1681.2,88.39,148600.8,876.8,W/R,SBG,S,/CB2,LFA543
687LH,1674.2,88.02,147350.7,883.8,W/R,SBG,S,/CB2,LFA544
688LH,1677.2,88.15,147847.2,880.8,W/R,SBG,S,/CB2,LFA545
689LH,1678.2,88.44,148429.1,879.8,W/R,SBG,S,/CB2,LFA546
1154W,1773.2,41.64,73840.5,626.8,W,SBG,53,/CB2,CONN330
1688C,1753.6,41.82,73335.69,804.4,W,SBG,53,/C,CONN343
1735X,1757.4,41.28,72536.9,792.6,W,SBG,53,/CB2,CONN341
5122U,1717.2,41.43,71146.35,824.3,W,SBG,53,/CB2,CONN342
513ND,1718.9,41.01,70502.6,681.1,W/G,SBG,53,/CB2,CONN338
514ND,1715,40.87,70093.44,835,W/G,SBG,53,/CB2,CONN339
525ND,1718.9,41.02,70510.62,681.1,W/G,SBG,53,/CB2,CONN340
527ND,1709.21,41,70080.34,848.79,W/G,SBG,53,/CB2,CONN327
528ND,1717.7,41.01,70447.74,832.3,W/G,SBG,53,/CB2,CONN331
530ND,1724.1,41.26,71152.4,675.9,W/G,SBG,53,/CB2,CONN332
538ND,1719.4,41,70512.3,830.6,W/G,SBG,53,/CB2,CONN333
55285a,1698.5,41.02,69676,701.5,W/G,SBG,53,/CB2,CONN348
55292a,1698.5,41.02,69676,701.5,W/R,SBG,53,/CB2,CONN346
5529Z,1680.8,40.66,68346,719.2,W/R,SBG,53,/CB2,CONN347
539ND,1683.4,40.58,68320,866.6,W/G,SBG,53,/CB2,CONN334
540ND,1707,40.69,69454.8,693,W/G,SBG,53,/CB2,CONN349
548ND,1686.84,40.75,68746.38,871.16,W/G,SBG,53,/CB2,CONN328
557ND,1699.14,40.79,69308.6,858.86,W/G,SBG,53,/CB2,CONN329
563ND,1717.1,40.85,70148.6,832.9,W/G,SBG,53,/CB2,CONN335
565ND,1717.1,40.85,70148.8,832.9,W/G,SBG,53,/CB2,CONN336
568ND,1725.83,41.35,71363.44,674.18,W/G,SBG,53,/CB2,CONN337
570ND,1711.2,40.73,69702.8,688.8,W/G,SBG,,/CB2,CONN350
572ND,1709.1,40.71,69572.7,690.9,W/G,SBG,53,/CB2,CONN344
576ND,1705.1,40.66,69333.4,694.9,W/G,SBG,53,/CB2,CONN345
125ML,2673.3,86.99,232554.9,1126.7,W/R,SBG,S,/CB2,LFA680
126ML,2664.3,87.44,232981.6,1135.7,W/R,SBG,S,/CB2,LFA681
134ML,2666.3,86.93,231787,1133.7,W/R,SBG,S,/CB2,LFA682
930LT,2632.3,86.64,228057.2,1167.7,W/R,SBG,S,/CB2,LFA683
931LT,2634.3,86.5,227872.6,1165.7,W/R,SBG,S,/CB2,LFA684
932LT,2630.3,86.39,227231.8,1169.7,W/R,SBG,S,/CB2,LFA685
933LT,2635.3,86.47,227881.3,1164.7,W/R,SBG,S,/CB2,LFA686
934LT,2636.3,86.59,228294,1163.7,W/R,SBG,S,/CB2,LFA687
935ER,2639.5,85.54,225771.14,1160.5,W/R,SG,S,/CB2,????
935LT,2636.3,86.63,228395,1163.7,W/R,SBG,S,/CB2,LFA688
936LT,2636.3,86.63,228395,1163.7,W/R,SBG,S,/CB2,LFA689
937LT,2634.3,86.57,228074.6,1165.7,W/R,SBG,S,/CB2,LFA690
938LT,2632.3,86.52,227754.2,1167.7,W/R,SBG,S,/CB2,LFA691
939LH,2666.3,86.7,231181,1133.7,W/R,SBG,S,/CB2,LFA692
940LH,2680.3,86.86,232817.8,1119.7,W/R,SBG,S,/CB2,LFA693
